identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,type1,type2,def1,def2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-17#char=0,188","Its website was launched on February 4, 2004 by Mark Zuckerberg with his Harvard College roommates and fellow students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.",fellow students__103__118,fellow__103__109,students__110__118,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-2#char=0,192","They have been managed by the industrial Agnelli family since 1923, which constitutes the oldest sporting partnership in Italy, thus making Juventus the first professional club in the country.",Agnelli family__41__55,Agnelli__41__48,family__49__55,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-20#char=0,151","Fermi applied for a chair of mathematical physics at the University of Cagliari on Sardinia, but was narrowly passed over in favour of Giovanni Giorgi.",University of Cagliari__57__79,University__57__67,Cagliari__71__79,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-21#char=0,93","In 1926, at the age of 24, he applied for a professorship at the Sapienza University of Rome.",Sapienza University of Rome__65__92,Sapienza University__65__84,Sapienza__65__73,University of Rome__74__92,University__74__84,Rome__88__92,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-22#char=0,321","This was a new chair, one of the first three in theoretical physics in Italy, that had been created by the Minister of Education at the urging of Professor Orso Mario Corbino, who was the University's professor of experimental physics, the Director of the Institute of Physics, and a member of Benito Mussolini's cabinet.",Minister of Education__107__128,Minister__107__115,Education__119__128,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-22#char=0,321","This was a new chair, one of the first three in theoretical physics in Italy, that had been created by the Minister of Education at the urging of Professor Orso Mario Corbino, who was the University's professor of experimental physics, the Director of the Institute of Physics, and a member of Benito Mussolini's cabinet.",Institute of Physics__256__276,Institute__256__265,Physics__269__276,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-23#char=0,158",Laura Capon was born in Rome in 1907. Capon met Enrico Fermi while she was a student in general science at the University of Rome. The couple married in 1928.,University of Rome__111__129,University__111__121,Rome__125__129,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-24#char=0,142","Reagan was twice elected as President of the Screen Actors Guild, the labor union for actors, where he worked to root out Communist influence.",Screen Actors Guild__45__64,Guild__59__64,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-25#char=0,243","As governor, Reagan raised taxes, turned a state budget deficit to a surplus, challenged the protesters at the University of California, ordered National Guard troops in during a period of protest movements in 1969, and was re-elected in 1970.","governor, Reagan__3__19",governor__3__11,Reagan__13__19,,,,,,Role,Person,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-25#char=0,243","As governor, Reagan raised taxes, turned a state budget deficit to a surplus, challenged the protesters at the University of California, ordered National Guard troops in during a period of protest movements in 1969, and was re-elected in 1970.",state budget__43__55,state__43__48,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-25#char=0,243","As governor, Reagan raised taxes, turned a state budget deficit to a surplus, challenged the protesters at the University of California, ordered National Guard troops in during a period of protest movements in 1969, and was re-elected in 1970.",University of California__111__135,University__111__121,California__125__135,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-27#char=0,246","The College of William and Mary also has a ""Chancellor"" who acts in a ceremonial capacity. As far as American high schools, one notable case is the Rector of St. Paul's School in New Hampshire, in which the Rector is equivalent to the Headmaster.",College of William and Mary__4__31,The College of William and Mary__0__31,The College__0__11,College__4__11,William__15__22,Mary__27__31,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-27#char=0,246","The College of William and Mary also has a ""Chancellor"" who acts in a ceremonial capacity. As far as American high schools, one notable case is the Rector of St. Paul's School in New Hampshire, in which the Rector is equivalent to the Headmaster.",American high schools__101__122,high schools__110__122,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-27#char=0,246","The College of William and Mary also has a ""Chancellor"" who acts in a ceremonial capacity. As far as American high schools, one notable case is the Rector of St. Paul's School in New Hampshire, in which the Rector is equivalent to the Headmaster.",St. Paul s School__158__175,St. Paul__158__166,St__158__160,Paul__162__166,s School__166__175,School__169__175,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-27#char=0,246","The College of William and Mary also has a ""Chancellor"" who acts in a ceremonial capacity. As far as American high schools, one notable case is the Rector of St. Paul's School in New Hampshire, in which the Rector is equivalent to the Headmaster.",New Hampshire__179__192,Hampshire__183__192,,,,,,,Place,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,253","The term ""rector"" is uncommon in Australian academic institutions. The executive head of an Australian university has traditionally been given the British title Vice-Chancellor, although in recent times the American term President has also been adopted.",Australian academic institutions__33__65,academic institutions__44__65,academic__44__52,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,253","The term ""rector"" is uncommon in Australian academic institutions. The executive head of an Australian university has traditionally been given the British title Vice-Chancellor, although in recent times the American term President has also been adopted.",executive head__71__85,executive__71__80,,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,253","The term ""rector"" is uncommon in Australian academic institutions. The executive head of an Australian university has traditionally been given the British title Vice-Chancellor, although in recent times the American term President has also been adopted.",Australian university__92__113,university__103__113,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-28#char=0,253","The term ""rector"" is uncommon in Australian academic institutions. The executive head of an Australian university has traditionally been given the British title Vice-Chancellor, although in recent times the American term President has also been adopted.",term President__216__230,President__221__230,Term__216__220,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-29#char=0,251","The prize ceremonies take place annually in Stockholm, Sweden, except for the peace prize which is held in Oslo, Norway and each recipient, or laureate, receives a gold medal, a diploma and a sum of money that has been decided by the Nobel Foundation.","Stockholm, Sweden__44__61",Stockholm__44__53,Sweden__55__61,,,,,,Place,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-29#char=0,251","The prize ceremonies take place annually in Stockholm, Sweden, except for the peace prize which is held in Oslo, Norway and each recipient, or laureate, receives a gold medal, a diploma and a sum of money that has been decided by the Nobel Foundation.","Oslo, Norway__107__119",Oslo__107__111,Norway__113__119,,,,,,Place,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-29#char=0,251","The prize ceremonies take place annually in Stockholm, Sweden, except for the peace prize which is held in Oslo, Norway and each recipient, or laureate, receives a gold medal, a diploma and a sum of money that has been decided by the Nobel Foundation.",Nobel Foundation__234__250,the Nobel Foundation__230__250,Nobel__234__239,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-3#char=0,163",Gianni Agnelli became the head of Fiat from 1966 to 2003 and made the company into the most important company in Italy and one of the major car builders of Europe.,important company__92__109,company__102__109,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-31#char=0,154","James Alexander Hendler is an artificial intelligence researcher at Rensselaer Polytechnic Institute, USA, and one of the originators of the Semantic Web.",James Alexander Hendler__0__23,Hendler__16__23,,,,,,,Person,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-31#char=0,154","James Alexander Hendler is an artificial intelligence researcher at Rensselaer Polytechnic Institute, USA, and one of the originators of the Semantic Web.",Rensselaer Polytechnic Institute__68__100,Polytechnic__79__90,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-32#char=0,303","Hendler held a longstanding position as professor at the University of Maryland where he was the Director of the Joint Institute for Knowledge Discovery and held joint appointments in the Department of Computer Science, the Institute for Advanced Computer Studies and the Institute for Systems Research.",University of Maryland__57__79,University__57__67,Maryland__71__79,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-32#char=0,303","Hendler held a longstanding position as professor at the University of Maryland where he was the Director of the Joint Institute for Knowledge Discovery and held joint appointments in the Department of Computer Science, the Institute for Advanced Computer Studies and the Institute for Systems Research.",Joint Institute for Knowledge Discovery__113__152,Joint Institute__113__128,Joint__113__118,Institute__119__128,Knowledge Discovery__133__152,Knowledge__133__142,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-32#char=0,303","Hendler held a longstanding position as professor at the University of Maryland where he was the Director of the Joint Institute for Knowledge Discovery and held joint appointments in the Department of Computer Science, the Institute for Advanced Computer Studies and the Institute for Systems Research.",Department of Computer Science__188__218,Department__188__198,Computer Science__202__218,Science__211__218,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-32#char=0,303","Hendler held a longstanding position as professor at the University of Maryland where he was the Director of the Joint Institute for Knowledge Discovery and held joint appointments in the Department of Computer Science, the Institute for Advanced Computer Studies and the Institute for Systems Research.",Institute for Advanced Computer Studies__224__263,Institute__224__233,Advanced__238__246,Computer Studies__247__263,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-32#char=0,303","Hendler held a longstanding position as professor at the University of Maryland where he was the Director of the Joint Institute for Knowledge Discovery and held joint appointments in the Department of Computer Science, the Institute for Advanced Computer Studies and the Institute for Systems Research.",Institute for Systems Research__272__302,Institute__272__281,Systems Research__286__302,Research__294__302,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-33#char=0,123",Hendler was the Director for Semantic Web and Agent Technology at the Maryland Information and Network Dynamics Laboratory.,Maryland Information and Network Dynamics Laboratory__70__122,Maryland__70__78,Information__79__90,Network Dynamics Laboratory__95__122,Network__95__102,Dynamics__103__111,Laboratory__112__122,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",American Association for Artificial Intelligence__22__70,American Association__22__42,American__22__30,Artificial Intelligence__47__70,Intelligence__58__70,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",British Computer Society__76__100,British__76__83,Computer Society__84__100,Computer__84__92,,,,,Organization,,,
